Chronosequence,Age,AGB,PI,Reference,
Agua Salud,12,51.15865791,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,13,41.66443131,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,14,49.27996602,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,14,65.77370413,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,15,45.11504914,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,16,61.81107235,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,17,64.91607722,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,18,60.8473122,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,19,65.83731787,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,2,0.014301916,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,2,0.760328948,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,20,73.71975271,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,20,68.20981328,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,20,115.8481438,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,22,117.6497357,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,22,67.53137882,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,22,76.77449125,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,24,106.9526422,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,25,70.38868194,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,26,98.10125967,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,29,146.2383131,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,3,0.456185829,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,30,117.9002439,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,31,133.2032295,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,4,0.254270049,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,5,14.40481685,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,5,24.94626421,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,6,14.33595172,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,6,73.34782362,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,6,14.16144295,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,6,56.9166773,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,6,1.916170245,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,7,30.79556574,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,7,50.92694852,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,7,44.81831371,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,7,4.900919814,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
Agua Salud,8,36.9144605,"Jefferson S. Hall, Michiel van Breugel","van Breugel, M. et al. (2013) Plos One 8",
